ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
462809,0,0,22,0,0,1,0,4,D
462643,1,1,38,1,1,3,1,3,A
466315,1,1,67,1,1,1,0,1,B
461735,0,1,67,1,2,0,3,2,B
462669,1,1,40,1,3,3,3,6,A
461319,0,1,56,0,4,0,1,2,C
460156,0,0,32,1,0,1,0,3,C
464347,1,0,33,1,0,1,0,3,D
465015,1,1,61,1,1,0,0,3,D
465176,1,1,55,1,4,1,1,4,C
464041,1,0,26,1,1,1,0,3,A
464942,0,0,19,0,0,4,0,4,D
461230,1,0,19,0,5,0,0,2,D
459573,0,1,70,0,2,3,0,1,A
460849,1,1,58,0,6,0,0,1,B
460563,1,0,41,0,0,1,0,2,C
466865,1,0,32,0,7,9,0,5,D
461644,0,0,31,0,0,1,0,6,B
466772,0,1,58,1,3,1,1,4,B
464291,1,1,79,1,4,0,3,1,C
466084,0,1,49,1,7,12,0,1,A
459675,1,0,18,0,0,3,0,4,D
465602,0,1,33,1,4,13,0,2,A
459168,1,0,36,1,4,5,0,2,B
461021,1,1,58,0,5,1,1,3,B
465083,0,1,56,0,4,1,1,3,C
467604,0,0,31,0,0,9,0,8,A
459717,0,1,49,1,4,1,1,3,C
465882,0,0,35,1,4,0,0,1,B
461996,1,0,35,0,4,5,0,4,C
463331,1,1,45,1,4,0,0,3,C
462216,1,1,42,0,6,1,0,2,A
462454,0,0,19,0,0,1,0,3,D
467010,0,0,26,0,7,9,0,2,D
459861,1,1,83,0,2,1,3,2,D
467917,1,0,27,1,0,3,0,4,D
465572,0,0,32,0,6,5,0,1,D
460593,1,1,28,0,0,1,1,5,D
465891,1,1,28,1,4,8,0,2,A
467442,0,1,56,1,4,3,1,2,C
462044,1,0,47,1,4,4,0,1,B
465686,1,0,22,0,0,0,0,2,D
464590,1,0,27,1,4,14,0,3,A
466006,1,1,49,1,4,1,0,2,C
466152,0,1,40,0,1,8,0,1,A
463156,1,1,79,0,2,3,3,2,A
465729,0,1,41,1,4,0,1,4,B
462384,1,0,29,1,0,3,0,1,A
462442,0,0,19,0,0,0,0,4,D
464191,1,0,45,1,1,1,0,1,A
462078,1,1,61,0,4,1,1,2,B
467873,1,1,36,1,4,1,1,2,C
461270,0,1,40,1,4,1,0,1,A
462960,1,1,57,1,3,0,1,2,C
464961,0,1,76,0,8,1,0,1,A
462110,0,1,32,1,4,14,1,2,B
465769,0,0,25,1,0,9,0,4,D
462267,0,0,32,1,6,8,0,2,D
465269,1,1,45,1,4,1,1,3,C
460881,0,1,72,1,2,1,0,2,D
461891,0,1,48,1,4,0,1,2,C
466935,0,1,55,1,4,9,1,2,C
464091,0,1,74,1,2,0,3,3,D
464535,0,1,56,1,2,1,3,2,A
463108,0,1,59,1,2,7,3,2,A
461356,0,0,25,1,3,0,0,2,A
464570,0,1,31,1,6,0,1,2,A
464580,0,0,27,0,4,8,0,4,A
465233,0,1,57,1,4,0,1,4,B
467208,1,1,39,1,7,3,3,2,A
459954,0,1,27,1,0,8,0,2,D
460219,1,1,51,1,3,8,1,2,A
460877,1,1,47,0,4,0,1,5,B
460191,1,0,33,0,0,8,0,4,D
463742,0,1,56,1,4,0,1,4,C
463691,1,0,33,0,7,0,0,3,B
463250,1,0,36,1,6,0,0,2,D
463952,0,1,51,0,4,4,0,3,A
461558,0,1,45,1,1,2,1,2,C
466567,1,0,49,1,8,1,0,1,D
465379,0,0,30,0,0,0,0,4,C
463814,1,0,26,0,0,6,0,3,D
466938,0,1,63,1,4,8,0,1,A
460671,0,1,35,0,3,8,1,4,B
462204,1,0,19,0,8,1,0,3,A
461671,0,0,32,0,0,7,0,5,D
459384,0,1,52,1,4,0,1,3,C
459905,1,1,36,1,4,5,0,2,C
464734,1,0,42,0,3,7,0,3,D
464125,0,1,40,0,6,0,1,2,D
